arc2,arc_description
2.4236,ELIMINATE LEAKS IN INERT GAS AND COMPRESSED AIR LINES/ VALVES
2.2522,ISOLATE HOT OR COLD EQUIPMENT
2.6221,USE MOST EFFICIENT EQUIPMENT AT ITS MAXIMUM CAPACITY AND LESS EFFICIENT EQUIPMENT ONLY WHEN NECESSARY
2.2121,INCREASE AMOUNT OF CONDENSATE RETURNED
2.1311,REPLACE ELECTRICALLY-OPERATED EQUIPMENT WITH FOSSIL FUEL EQUIPMENT
2.7231,USE RADIANT HEATER FOR SPOT HEATING
2.7145,INSTALL SKYLIGHTS
2.3137,USE POWER DURING OFF-PEAK PERIODS
2.3321,USE STEAM PRESSURE REDUCTION TO GENERATE POWER
2.1221,REPLACE OBSOLETE BURNERS WITH MORE EFFICIENT ONES
2.3413,BURN FOSSIL FUEL TO PRODUCE STEAM TO DRIVE A STEAM TURBINE-GENERATOR AND USE STEAM EXHAUST FOR HEAT
2.3411,REPLACE ELECTRIC MOTORS WITH BACK PRESSURE STEAM TURBINES AND USE EXHAUST STEAM FOR PROCESS HEAT
2.2612,USE COOLING TOWER WATER INSTEAD OF REFRIGERATION
2.7422,PLANT TREES OR SHRUBS NEAR WINDOWS TO SHIELD FROM SUNLIGHT
2.7234,USE HEAT PUMP FOR SPACE CONDITIONING
2.6242,MINIMIZE OPERATION OF EQUIPMENT MAINTAINED IN STANDBY CONDITION
2.2222,CONVERT LIQUID HEATERS FROM UNDERFIRING TO IMMERSION OR SUBMERSION HEATING
2.1222,INSTALL TURBULATORS
2.2447,HEAT WATER WITH EXHAUST HEAT
2.9121,INSTALL WIND POWERED ELECTRIC GENERATOR
2.2625,CHILL WATER TO THE HIGHEST TEMPERATURE POSSIBLE
2.6223,SCHEDULE USE OF ELEVATORS TO CONSERVE ENERGY
2.7263,LOWER COMPRESSOR PRESSURE THROUGH A/C SYSTEM MODIFICATION
2.7227,USE WATER ON AIR CONDITIONING EXCHANGER
2.7311,VENTILATION SYSTEM TO SHUT OFF WHEN ROOM IS NOT IN USE
2.6126,KEEP SOLID FUELS / RAW MATERIALS DRY
