id,superid,impcost,impcost_adj,payback,reference_year,reference_ppi,fy,arc2,conserved,saved
AM0076,AM007605,199.0,286.56,1.5669291338583,2024,189.87,1990,2.2511,35.0,127.0
AM0135,AM013509,75.0,199.5,0.625,2024,278.19,1991,2.4236,4982.0,120.0
AM0136,AM013605,2300.0,5497.0,3.7704918032787,2024,427.93,1992,2.2437,123.0,610.0
AM0142,AM014207,320.0,528.0,0.30680728667306,2024,216.87,1992,2.4133,12896.0,1043.0
AM0153,AM015308,120.0,216.0,0.85714285714286,2024,239.54,1992,2.6231,5569.0,140.0
AM0166,AM016606,75.0,189.0,0.15,2024,278.19,1993,2.7111,8499.0,500.0
AM0185,AM018505,320.0,806.4,0.27586206896552,2024,278.19,1993,2.7141,14361.0,1160.0
AM0225,AM022505,200.0,490.0,0.27397260273973,2024,278.19,1994,2.4236,26084.0,730.0
AM0242,AM024205,100.0,173.0,1.3157894736842,2024,239.54,1995,2.4231,2931.0,76.0
AM0277,AM027711,120.0,181.2,0.22641509433962,2024,243.25,1996,2.7142,7913.0,180.0
AM0279,AM027906,200.0,470.0,0.35714285714286,2024,278.19,1996,2.4236,18757.0,560.0
AM0297,AM029706,300.0,681.0,0.15957446808511,2024,278.19,1997,2.4236,38101.0,1880.0
AM0309,AM030902,9300.0,21111.0,0.11411042944785,2024,278.19,1997,2.4236,1812720.0,81500.0
AM0315,AM031508,320.0,496.0,1.6842105263158,2024,216.87,1998,2.4133,3224.0,150.0
AM0342,AM034207,250.0,397.5,1.4705882352941,2024,243.25,1999,2.7142,1758.0,55.0
AM0348,AM034806,405.0,643.95,0.61832061068702,2024,243.25,1999,2.7142,1758.0,60.0
AM0381,AM038106,290.0,481.4,2.027972027972,2024,243.25,2000,2.7142,1172.0,41.0
AM0398,AM039806,200.0,388.0,0.37735849056604,2024,278.19,2001,2.4236,18900.0,530.0
AM0407,AM040703,210.0,392.7,0.30434782608696,2024,278.19,2002,2.7111,10600.0,290.0
AM0426,AM042605,500.0,925.0,0.60975609756098,2024,278.19,2003,2.4236,17400.0,820.0
AM0430,AM043009,630.0,1008.0,2.4230769230769,2024,243.25,2003,2.7142,4800.0,260.0
AM0443,AM044308,115.0,184.0,1.0454545454545,2024,243.25,2003,2.7142,1000.0,110.0
AM0458,AM045809,200.0,332.0,1.0,2024,262.98,2004,2.7135,3200.0,200.0
AM0479,AM047910,1130.0,1785.4,0.13513513514,2024,243.25,2005,2.7142,5090.0,300.0
AM0527,AM052706,28.0,32.48,0.06,2024,189.87,2007,2.2511,3270.0,330.0
AM0536,AM053606,480.0,667.2,0.38,2024,243.25,2008,2.7142,15740.0,1165.0
AM0539,AM053906,605.0,840.95,0.33,2024,243.25,2008,2.7142,3430.0,270.0
AM0545,AM054508,325.0,451.75,0.26,2024,243.25,2008,2.7142,2940.0,290.0
AM0566,AM056610,380.0,520.6,0.27,2024,243.25,2009,2.7142,2860.0,260.0
AM0582,AM058212,130.0,197.6,0.04,2024,278.19,2010,2.7124,40530.0,3080.0
AM0589,AM058907,225.0,297.0,1.1,2024,243.25,2011,2.7142,3050.0,160.0
AR0007,AR000704,100.0,252.0,0.08984725965858,2024,278.19,1993,2.4236,14947.0,1113.0
AR0021,AR002108,822.0,1290.54,0.59307359307359,2024,243.25,1994,2.7142,19930.0,1386.0
AR0026,AR002607,30500.0,60695.0,1.3593011854889,2024,262.98,1994,2.4134,-3046.0,-8071.0
AR0030,AR003004,19000.0,37810.0,0.88590478854851,2024,262.98,1994,2.4134,370750.0,32976.0
AR0090,AR009005,6030.0,9406.8,1.6754654070575,2024,216.87,1996,2.4133,57444.0,2292.0
AR0104,AR010407,100.0,138.0,0.3257328990228,2024,189.87,1996,2.2511,98.0,307.0
AR0112,AR011207,279.0,421.29,0.20071942446043,2024,243.25,1997,2.7142,14654.0,1168.0
AR0138,AR013806,182.0,247.52,0.14263322884013,2024,189.87,1998,2.2511,38687.0,1276.0
AR0140,AR014005,279.0,446.4,0.55911823647295,2024,239.54,1998,2.6218,14361.0,459.0
AR0146,AR014604,1340.0,2077.0,0.9585121602289,2024,216.87,1998,2.4133,28136.0,1242.0
